X : 1 if unit j processes task i starting at time t
    Size=420, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
           ('Mix', 'Mix', 0) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 3) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 4) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 5) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 6) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 7) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 8) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Pack', 9) :     0 :     0 :     1 : False : False : Binary
         ('Sep', 'Pack', 10) :     0 :     0 :     1 : False : False : Binary
         ('Sep', 'Pack', 11) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 0) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 1) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 2) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 3) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 4) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 5) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 6) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 7) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 8) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_large', 9) :     0 :     0 :     1 : False : False : Binary
      ('Sep', 'R_large', 10) :     0 :     0 :     1 : False : False : Binary
      ('Sep', 'R_large', 11) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 0) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 1) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 2) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 3) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 4) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 5) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 6) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 7) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 8) :     0 :     0 :     1 : False : False : Binary
       ('Sep', 'R_small', 9) :     0 :     0 :     1 : False : False : Binary
      ('Sep', 'R_small', 10) :     0 :     0 :     1 : False : False : Binary
      ('Sep', 'R_small', 11) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 0) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 1) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 2) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 3) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 4) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 5) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 6) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 7) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 8) :     0 :     0 :     1 : False : False : Binary
           ('Sep', 'Sep', 9) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Sep', 10) :     0 :     0 :     1 : False : False : Binary
          ('Sep', 'Sep', 11) :     0 :     0 :     1 : False : False : Binary

B : Batch size of task i processed in unit j starting at time t
    Size=420, Index=B_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
           ('Mix', 'Mix', 0) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 1) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 2) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 3) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 4) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 5) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 6) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 7) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 8) :     0 :     0 :     2 : False : False : NonNegativeReals
           ('Mix', 'Mix', 9) :     0 :     0 :     2 : False : False : NonNegativeReals
          ('Mix', 'Mix', 10) :     0 :     0 :     2 : False : False : NonNegativeReals
          ('Mix', 'Mix', 11) :     0 :     0 :     2 : False : False : NonNegativeReals
          ('Mix', 'Pack', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Pack', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Mix', 'Pack', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Mix', 'Pack', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_large', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
      ('Mix', 'R_large', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
      ('Mix', 'R_large', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
       ('Mix', 'R_small', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
      ('Mix', 'R_small', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
      ('Mix', 'R_small', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
           ('Mix', 'Sep', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Sep', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
          ('Mix', 'Sep', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Mix', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack1', 'Mix', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack1', 'Mix', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 0) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 1) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 2) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 3) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 4) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 5) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 6) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 7) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 8) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack1', 'Pack', 9) :     0 :     0 :     1 : False : False : NonNegativeReals
       ('Pack1', 'Pack', 10) :     0 :     0 :     1 : False : False : NonNegativeReals
       ('Pack1', 'Pack', 11) :     0 :     0 :     1 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_large', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
    ('Pack1', 'R_large', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
    ('Pack1', 'R_large', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
     ('Pack1', 'R_small', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
    ('Pack1', 'R_small', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
    ('Pack1', 'R_small', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack1', 'Sep', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack1', 'Sep', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack1', 'Sep', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 0) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 1) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 2) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 3) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 4) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 5) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 6) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 7) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 8) :     0 :     0 :     0 : False : False : NonNegativeReals
         ('Pack2', 'Mix', 9) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack2', 'Mix', 10) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack2', 'Mix', 11) :     0 :     0 :     0 : False : False : NonNegativeReals
        ('Pack2', 'Pack', 0) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack2', 'Pack', 1) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack2', 'Pack', 2) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack2', 'Pack', 3) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack2', 'Pack', 4) :     0 :     0 :     1 : False : False : NonNegativeReals
        ('Pack2', 'Pack', 5) :     0 :     0 :     1 : False : False : NonNegativeReals
